ID_CULTIVO,N_EVENTOS_DESPESCA,KG_DESPESCADO,KG_VENDIDO,KG_DOADO,ANIMAIS_DESPESCADOS,PESO_MEDIO_DESPESCA,N_DESBASTES,VIVEIRO,QUANTIDADE_PL,TAMANHO_AREA,SOBREVIVENCIA,PRODUTIVIDADE_KG_HA,SOBREVIVENCIA_VALIDA
V3_C6,4,2599.6,2599.6,0.0,125637.43218540127,23.62,2,3,190000.0,2.72,0.6612496430810593,955.735294117647,True
V3_C7,5,1870.6,1870.6,0.0,71117.18826244643,30.13,4,3,190000.0,2.72,0.37430099085498125,687.720588235294,True
V4_C1,1,1683.4,1683.4,0.0,147796.31255487268,11.39,0,4,295000.0,3.57,0.5010044493385515,471.54061624649864,True
V4_C10,1,518.0,518.0,0.0,47392.0,10.93,1,4,310000.0,3.57,0.1528774193548387,145.09803921568627,True
V4_C2,3,3883.0,3861.0,22.0,140830.63862928346,32.1,2,4,215000.0,3.57,0.6550262261827138,1087.6750700280113,True
V4_C3,11,3862.5,3852.5,10.0,223747.9206811153,18.22,5,4,265000.0,3.57,0.8443317761551521,1081.9327731092437,True
V4_C4,6,3082.0,3078.0,4.0,196940.61635220126,15.9,5,4,510000.0,3.57,0.386158071278826,863.3053221288516,True
V4_C5,4,3421.0,3421.0,0.0,168594.64556962025,24.49,3,4,350000.0,3.57,0.48169898734177213,958.2633053221289,True
V4_C6,8,3085.0,3085.0,0.0,657846.4451827243,15.05,4,4,1250000.0,3.57,0.5262771561461794,864.1456582633053,True
V4_C7,4,2062.5,2062.5,0.0,147237.58739255014,14.16,3,4,195000.0,3.57,0.7550645507310263,577.7310924369748,True
V4_C8,2,2850.0,2850.0,0.0,181167.04490750292,15.91,0,4,195000.0,3.57,0.9290617687564252,798.3193277310925,True
V4_C9,1,3046.0,3046.0,0.0,146231.39702352378,20.83,0,4,245000.0,3.57,0.5968628449939746,853.2212885154062,True
V5_C1,5,4173.0,4173.0,0.0,221216.77127355625,16.45,4,5,330000.0,3.78,0.6703538523441098,1103.968253968254,True
V5_C2,5,4128.5,4128.5,0.0,231238.27042552648,21.12,2,5,715000.0,3.78,0.32341016842730974,1092.1957671957673,True
V5_C3,4,3510.0,3510.0,0.0,184486.47314578007,19.55,2,5,410000.0,3.78,0.4499670076726343,928.5714285714287,True
V5_C4,5,3717.5,3717.5,0.0,283354.7143578138,12.85,2,5,900000.0,3.78,0.314838571508682,983.4656084656085,True
V5_C5,3,2301.0,2301.0,0.0,110951.78920953575,23.91,2,5,315000.0,3.78,0.35222790225249445,608.7301587301588,True
V5_C6,4,2561.0,2561.0,0.0,268662.73052071454,6.0,2,5,850000.0,3.78,0.3160738006126053,677.5132275132275,True
V5_C7,1,3145.0,3145.0,0.0,356980.70374574343,8.81,0,5,850000.0,3.78,0.419977298524404,832.0105820105821,True
V5_C8,4,2591.7,2591.7,0.0,152901.60936486482,17.0,0,5,235000.0,3.78,0.6506451462334674,685.6349206349206,True
V6_C1,1,934.0,934.0,0.0,59871.794871794875,15.6,0,6,178000.0,1.04,0.336358398156151,898.0769230769231,True
V6_C2,5,1640.0,1640.0,0.0,99807.97013555585,9.39,0,6,205000.0,1.04,0.48686814700271147,1576.923076923077,True
V6_C3,2,1511.0,1511.0,0.0,86842.66817155757,17.72,1,6,170000.0,1.04,0.5108392245385739,1452.8846153846152,True
V6_C4,2,1234.0,1234.0,0.0,76266.99629171817,16.18,0,6,200000.0,1.04,0.38133498145859085,1186.5384615384614,True
