DATA,KG_VENDA,KG_DOACAO,NF,PESO_MEDIO,QTD_ANIMAIS_TEXTO,DESBASTE,KG,ID_CULTIVO,VIVEIRO,QTD_ANIMAIS_CALC,QTD_ANIMAIS
10/12/2024,291.0,0.0,,11.69,,False,291.0,V11B_C7,11B,24893.071000855434,24893.071000855434
08/10/2024,254.0,0.0,1.666,8.91,28507.0,True,254.0,V11C_C7,11C,28507.29517396184,28507.0
12/12/2024,2109.5,0.0,1.705,11.48,,False,2109.5,V11B_C7,11B,183754.35540069686,183754.35540069686
28/10/2024,230.0,0.0,1.688,11.42,20140.0,True,230.0,V11C_C7,11C,20140.105078809105,20140.0
29/10/2024,51.0,0.0,1.689,11.04,4619.0,True,51.0,V11C_C7,11C,4619.565217391305,4619.0
26/11/2024,359.0,0.0,1.700,10.44,,False,359.0,V11B_C7,11B,34386.97318007663,34386.97318007663
19/11/2024,210.0,0.0,1.698,14.02,14986.0,True,210.0,V11C_C7,11C,14978.601997146934,14986.0
21/11/2024,403.0,0.0,1.699,14.65,27508.0,True,403.0,V11C_C7,11C,27508.53242320819,27508.0
08/04/2025,621.0,0.0,1.764,11.31,,False,621.0,V11B_C8,11B,54907.16180371353,54907.16180371353
09/04/2025,328.0,0.0,1.771,11.36,,False,328.0,V11B_C8,11B,28873.23943661972,28873.23943661972
29/04/2025,1696.0,0.0,1.786,15.65,,False,1696.0,V11B_C8,11B,108370.60702875399,108370.60702875399
30/04/2025,100.0,0.0,1.787,16.14,,False,100.0,V11B_C8,11B,6195.786864931846,6195.786864931846
30/04/2025,176.0,0.0,1.788,16.14,,False,176.0,V11B_C8,11B,10904.584882280049,10904.584882280049
08/06/2025,308.7,0.0,1.803,12.71,24287.0,True,308.7,V11B_C9,11B,24287.962234461054,24287.0
08/06/2025,548.0,0.0,1.802,12.71,43115.0,True,548.0,V11B_C9,11B,43115.65696302124,43115.0
24/11/2022,182.0,0.0,1.302,12.64,14398.0,True,182.0,V11C_C1,11C,14398.734177215189,14398.0
05/12/2022,742.0,0.0,1.306,14.9,49798.0,True,742.0,V11C_C1,11C,49798.657718120805,49798.0
04/01/2023,1602.0,0.0,1.338.,22.74,,False,1602.0,V11C_C1,11C,70448.54881266491,70448.54881266491
29/03/2023,77.0,0.0,1.375,17.17,4484.0,True,77.0,V11C_C2,11C,4484.56610366919,4484.0
27/04/2023,1912.0,0.0,1.388,16.63,,False,1912.0,V11C_C2,11C,114972.94046903188,114972.94046903188
08/07/2024,418.0,0.0,1.620,17.64,,False,418.0,V11B_C6,11B,23696.145124716553,23696.145124716553
29/07/2024,200.0,0.0,1.618,14.79,,False,200.0,V11B_C6,11B,13522.65043948614,13522.65043948614
14/08/2024,983.0,0.0,1.625,18.75,52426.0,True,983.0,V11B_C6,11B,52426.666666666664,52426.0
26/11/2024,202.0,0.0,1.700,16.48,12257.0,True,202.0,V11C_C7,11C,12257.281553398057,12257.0
24/06/2024,374.0,0.0,1.610,23.73,,False,374.0,V11B_C5,11B,15760.640539401602,15760.640539401602
23/06/2024,882.0,0.0,1.609,23.83,,False,882.0,V11B_C5,11B,37012.16953420059,37012.16953420059
23/06/2024,560.0,0.0,,23.83,,False,560.0,V11B_C5,11B,23499.79018044482,23499.79018044482
10/06/2024,110.0,0.0,1.601,22.5,,False,110.0,V11B_C5,11B,4888.888888888889,4888.888888888889
,2.0,0.0,,,273330.0,True,2.0,V12A_C1,12A,,273330.0
27/11/2024,32.0,0.0,1.701,15.24,2099.0,True,32.0,V11C_C7,11C,2099.737532808399,2099.0
16/06/2025,229.0,0.0,1.811,18.28,12527.0,True,229.0,V11C_C10,11C,12527.352297592997,12527.0
20/08/2024,231.0,0.0,1.629,20.46,,False,231.0,V11B_C6,11B,11290.322580645161,11290.322580645161
28/11/2024,504.0,0.0,1.702,14.68,,False,504.0,V11C_C7,11C,34332.42506811989,34332.42506811989
12/03/2025,426.0,0.0,1.738,17.11,24897.0,True,426.0,V11C_C8,11C,24897.72063120982,24897.0
21/03/2025,75.5,0.0,1.745,18.4,,False,75.5,V11C_C8,11C,4103.260869565218,4103.260869565218
27/03/2025,565.0,0.0,1.750,21.71,,False,565.0,V11C_C8,11C,26024.87333026255,26024.87333026255
27/03/2025,570.0,0.0,1.751,21.71,,False,570.0,V11C_C8,11C,26255.1819438047,26255.1819438047
27/03/2025,578.0,0.0,1.752,21.71,,False,578.0,V11C_C8,11C,26623.67572547213,26623.67572547213
27/03/2025,150.0,0.0,1.754,21.71,,False,150.0,V11C_C8,11C,6909.258406264394,6909.258406264394
11/06/2025,207.0,0.0,1.804,16.8,12321.0,True,207.0,V11C_C10,11C,12321.42857142857,12321.0
14/11/2023,217.0,0.0,1.500,10.68,20318.0,True,217.0,V12B5_C3,12B5,20318.352059925095,20318.0
21/11/2023,181.0,0.0,1.509,11.72,15443.0,True,181.0,V12B5_C3,12B5,15443.686006825938,15443.0
