ID_CULTIVO,VIVEIRO,QUANTIDADE_PL,TAMANHO_AREA,DENSIDADE_PL_HA,N_DIAS,SUP_05_MEDIA,SUP_05_STD,SUP_05_MIN,SUP_05_MAX,SOLO_05_MEDIA,SOLO_05_STD,SOLO_05_MIN,SOLO_05_MAX,TEMP_05_MEDIA,TEMP_05_STD,TEMP_05_MIN,TEMP_05_MAX,PH_05_MEDIA,PH_05_STD,PH_05_MIN,PH_05_MAX,SUP_14_MEDIA,SUP_14_STD,SUP_14_MIN,SUP_14_MAX,SOLO_14_MEDIA,SOLO_14_STD,SOLO_14_MIN,SOLO_14_MAX,TEMP_14_MEDIA,TEMP_14_STD,TEMP_14_MIN,TEMP_14_MAX,PH_14_MEDIA,PH_14_STD,PH_14_MIN,PH_14_MAX,SAL_14_MEDIA,SAL_14_STD,SAL_14_MIN,SAL_14_MAX,NIVEL_MEDIA,NIVEL_STD,NIVEL_MIN,NIVEL_MAX,DELTA_OXI_SUP_MEDIA,DELTA_OXI_SUP_STD,DELTA_OXI_SUP_MIN,DELTA_OXI_SUP_MAX,DELTA_OXI_SOLO_MEDIA,DELTA_OXI_SOLO_STD,DELTA_OXI_SOLO_MIN,DELTA_OXI_SOLO_MAX,DENSIDADE_PL_M2,RACAO_TOTAL,RACAO_MEDIA,RACAO_STD,RACAO_POR_PL,RACAO_POR_DIA,AMPLITUDE_TERMICA,TAXA_O2_BAIXO,TEND_SUP_05,TEND_TEMP_05,TEND_PH_05,PESO_FINAL,PESO_INICIAL,GP_SEMANAL,SOBREVIVENCIA,KG_DESPESCADO,PRODUTIVIDADE_KG_HA,N_DESBASTES,PESO_MEDIO_DESPESCA,MES_POVOAMENTO,SEN_MES,COS_MES
V10_C1,10,205000.0,1.0,205000.0,176.0,3.474857142857143,0.7363679561407263,1.7,5.2,3.374857142857143,0.7363679561407261,1.6,5.1,28.627272727272725,0.7151786626295003,26.6,30.2,8.247727272727273,0.36362532450776736,7.6,8.6,8.1375,1.8851972128847763,3.5,12.3,7.9541666666666675,1.959730072750315,0.8,12.1,30.37916666666667,0.7163304898085592,28.4,32.0,8.177941176470588,0.26907005186467225,7.6,9.0,36.96350364963504,3.546764804064993,25.0,41.0,99.92957746478874,0.8391813582966892,90.0,100.0,4.724475524475524,1.7887054404137492,-1.0,8.5,4.640559440559441,1.9102480394300014,-3.6000000000000005,8.5,20.5,4474.0,25.420454545454547,10.73176496298625,0.02182439024390244,25.420454545454547,1.7518939393939448,0.22857142857142856,-0.006865036500476562,0.01025686570650303,-0.005550188604752444,22.0,2.3,1.0476190476190477,0.4902912669408517,1875.5,1875.5,3.0,21.29,10,-0.8660254037844386,0.5000000000000001
V10_C2,10,195000.0,1.0,195000.0,148.0,3.878723404255319,0.6051928276695078,2.4,5.4,3.779432624113475,0.6061020341371645,2.3,5.3,27.69148936170213,1.1527290204245193,25.0,30.4,8.090780141843972,0.08856047910879733,7.1,8.2,8.21203007518797,1.6053432368747638,2.4,11.2,8.006766917293234,1.5725002042068472,2.3,11.0,29.423308270676692,1.1606481482112632,27.2,32.3,8.10451127819549,0.20738803538373077,7.5,8.7,29.533834586466167,1.221951197882645,26.0,32.0,98.84210526315789,3.671846421128052,80.0,100.0,4.40625,1.8180092079840964,-1.4,8.2,4.2984375,1.783563820437834,-1.4000000000000004,8.1,19.5,3645.0,24.79591836734694,10.107598373006455,0.018692307692307692,24.62837837837838,1.7318189089745637,0.0425531914893617,-0.008067726627500401,-0.01896518466985349,-0.0001714557036618151,18.2,1.6,1.011111111111111,0.510672957505295,1539.0,1539.0,2.0,17.07,4,0.8660254037844387,-0.4999999999999998
V10_C3,10,200000.0,1.0,200000.0,152.0,3.977205882352941,0.7871154004304389,1.5,5.6,3.8764705882352946,0.7871406570260195,1.4,5.5,28.408823529411762,0.7256639961401709,26.7,30.0,8.203703703703704,0.28162836934338964,8.0,8.8,7.6876033057851245,0.9679506054833806,4.9,9.5,7.485123966942149,0.954957342592222,4.8,9.4,30.2578125,0.9482357737805306,27.8,32.4,8.538095238095238,0.3184605828939307,7.8,9.2,32.75,2.5098232205526303,29.0,40.0,97.67441860465117,4.552064762791849,80.0,100.0,3.6429824561403508,0.933351492493073,1.5000000000000004,6.3,3.5412280701754386,0.9423949347329929,1.5,6.300000000000001,20.0,2588.0,19.313432835820894,9.713503437446738,0.01294,17.026315789473685,1.8489889705882376,0.11764705882352941,-0.012620039780886721,0.012407223465506104,0.005597377322723853,13.5,1.2,0.7941176470588235,0.599374617131941,1456.0,1456.0,2.0,10.78,9,-1.0,-1.8369701987210297e-16
V10_C4,10,140000.0,1.0,140000.0,73.0,3.4,1.1978050100518292,0.9,6.7,3.3000000000000003,1.1978050100518292,0.8,6.6,28.986206896551725,0.9048501428436838,27.1,31.8,8.63103448275862,0.04666753088820425,8.6,8.7,6.80327868852459,2.300287461247308,1.8,12.7,6.649180327868853,2.3115379404788543,1.7,12.6,30.58888888888889,1.3974759633354557,28.0,34.2,8.819642857142856,0.14944703270528842,8.6,9.2,22.517857142857142,3.4535413783460074,15.0,29.0,96.53225806451613,9.170011248246466,40.0,100.0,3.3040816326530615,2.7647301845202326,-2.4000000000000004,10.1,3.2530612244897954,2.781344252396696,-2.4999999999999996,10.1,14.0,2133.0,29.21917808219178,10.961101140120787,0.015235714285714286,29.21917808219178,1.602681992337164,0.43103448275862066,0.017820534911771695,-0.015081126267306845,-0.0016891215357174804,27.0,3.5,3.05,0.3824670837745945,1183.0,1183.0,1.0,25.63,2,0.8660254037844386,0.5000000000000001
V10_C5,10,180000.0,1.0,180000.0,109.0,4.739,0.7563729238940277,3.3,6.8,4.641,0.7586664270117327,3.2,6.7,26.504,0.7251499322501731,25.2,28.5,8.860714285714286,0.1642931974648338,8.5,9.0,8.969148936170212,2.0640302258635708,4.0,12.8,8.821276595744681,2.073430088349811,3.8,12.7,28.61063829787234,0.724897929056057,26.8,30.6,8.994594594594595,0.2946518223407709,8.3,9.9,17.53488372093023,4.998111818579693,11.0,28.0,98.01075268817205,4.431837933722391,80.0,100.0,4.336363636363637,2.3815469626304266,-1.5999999999999996,8.9,4.286363636363636,2.394206696450654,-1.6000000000000005,8.899999999999999,18.0,1731.0,16.805825242718445,6.6362909739348455,0.009616666666666667,15.880733944954128,2.1066382978723404,0.0,-0.01621690674419629,-0.01191533412624976,0.0025278985396320016,14.2,1.8,1.1833333333333333,0.4075007765830346,969.0,969.0,1.0,13.95,5,0.49999999999999994,-0.8660254037844387
V10_C6,10,95000.0,1.0,95000.0,31.0,4.430000000000001,0.5590324153207128,3.1,5.4,4.33,0.5590324153207131,3.0,5.3,27.23,0.5140441414026081,26.0,28.0,8.72,0.200688470194393,8.0,9.0,9.573076923076924,1.6641052111709027,4.8,12.3,9.434615384615386,1.6733062619119807,4.6,12.2,30.192307692307693,0.8597316218090741,27.8,32.0,8.834615384615386,0.1547703012656047,8.5,9.0,29.09090909090909,1.2690112727590752,27.0,30.0,99.03846153846153,4.004804806536959,80.0,100.0,4.9173913043478255,1.6058563770017888,1.1999999999999997,8.0,4.873913043478261,1.6079963227299503,1.0999999999999996,7.999999999999999,9.5,599.0,19.966666666666665,49.18822632699214,0.0063052631578947365,19.322580645161292,2.962307692307693,0.0,0.016845249048111056,-0.0018811306600237238,0.0114991011903919,12.5,2.2,2.5,0.3375737923006568,406.0,406.0,0.0,12.66,9,-1.0,-1.8369701987210297e-16
V10_C7,10,80000.0,1.0,80000.0,49.0,3.6816326530612247,0.9299806157002585,2.2,6.7,3.576,0.9219677270902261,2.1,6.6,28.780392156862746,0.5734176864531231,27.6,29.8,8.7,0.0,8.7,8.7,8.674545454545454,1.5585152219242826,3.1,12.2,8.532727272727273,1.5482432751532427,3.0,12.0,30.97037037037037,1.1447385183228251,26.0,32.8,8.974545454545455,0.12052075557866548,8.7,9.3,33.90196078431372,1.57803551241136,30.0,35.0,98.07692307692308,4.660413824283702,70.0,100.0,4.94054054054054,1.472990054175418,0.09999999999999964,8.9,4.963157894736842,1.4889541137233973,0.10000000000000053,8.9,8.0,901.0,19.58695652173913,4.445102608272123,0.0112625,18.387755102040817,2.189978213507626,0.1836734693877551,-0.035867157402311535,0.020165375446960544,-1.9497000043548392e-17,14.5,8.7,3.625,0.4299450549450549,626.0,626.0,0.0,18.2,10,-0.8660254037844386,0.5000000000000001
V10_C8,10,160000.0,1.0,160000.0,63.0,3.043103448275862,1.0404304218903435,0.7,6.4,2.9465517241379313,1.0426375995255222,0.6,6.3,29.053448275862067,0.5178279593873729,27.6,30.2,8.9,0.0,8.9,8.9,7.933333333333334,1.667173256343403,4.3,11.8,7.754901960784314,1.6068993404056395,4.2,11.7,31.590566037735847,0.9598205262811056,28.9,33.8,9.05952380952381,0.22203001753720708,8.8,9.8,25.41025641025641,4.089253880715242,20.0,30.0,96.32075471698113,7.2821530652412365,60.0,100.0,4.7275,1.9038405853324416,-0.10000000000000053,11.100000000000001,4.6899999999999995,1.9132198661968403,-0.20000000000000018,11.1,16.0,2039.0,33.983333333333334,17.222857955583095,0.01274375,32.36507936507937,2.5371177618737804,0.4482758620689655,-0.02162889460844316,0.003982252788125233,-3.426714711462689e-17,9.5,1.1,2.042857142857143,0.6579532738095238,1235.0,1235.0,2.0,13.44,1,0.49999999999999994,0.8660254037844387
V11A_C1,11A,270000.0,3.13,86262.0,149.0,5.4,0.9897282676551281,2.3,8.4,5.279710144927536,0.9546780265350645,2.2,7.3,27.674820143884894,1.0516442285104757,24.2,29.5,8.553237410071942,0.15050743073445805,8.4,8.7,8.44608695652174,1.0748551070466035,6.2,11.9,8.38448275862069,1.2356729163584868,6.1,15.0,29.957758620689653,1.3666939393434407,27.3,34.5,8.420175438596491,0.23202831096767773,8.0,9.0,32.026315789473685,6.734484661175408,17.0,41.0,94.08695652173913,15.497348509710497,30.0,100.0,3.044545454545455,1.476767258105412,-0.6000000000000005,6.7,3.05,1.4589646951353474,-0.5999999999999996,6.7,8.6262,2879.0,20.564285714285713,10.665759585874762,0.010662962962962963,19.322147651006713,2.282938476804759,0.014492753623188406,-0.015371328024836133,0.019520843980313004,-0.003210393171837255,17.5,1.7,0.9375,0.5837006947836944,2030.415,648.6948881789137,4.0,15.0,8,-0.8660254037844384,-0.5000000000000004
V11A_C2,11A,215000.0,3.13,68690.0,153.0,4.289864864864865,1.0126908900336387,1.0,7.2,4.1891891891891895,1.0116421038474475,0.9,7.1,29.3156462585034,0.629274498575799,27.8,30.6,7.975,0.24491425682732343,7.0,8.5,7.743076923076924,1.4695323551641117,2.4,10.6,7.618461538461538,1.478831752168726,2.3,10.5,31.079230769230772,0.9151351112891078,29.1,33.5,8.1984,0.23622842963483875,7.5,8.8,33.95967741935484,5.180324241269956,26.0,41.0,99.6923076923077,2.7670434613490693,70.0,100.0,3.4410852713178293,1.4730714300347065,-0.8000000000000003,6.8999999999999995,3.4170542635658916,1.4830882070345517,-0.8000000000000003,6.800000000000001,6.869,4410.0,29.59731543624161,13.785479759655875,0.020511627906976745,28.823529411764707,1.763584510727373,0.060810810810810814,-0.01071204272919532,0.0005465559433706484,-0.0015763777695330281,22.0,1.5,1.4666666666666666,0.5512633206559012,2325.0,742.8115015974441,6.0,21.95,1,0.49999999999999994,0.8660254037844387
